Winner,Loser,WRank,LRank
Ferrer D.,Lopez F.,4,37
Gulbis E.,Goffin D.,18,107
Dimitrov G.,Baghdatis M.,22,149
Murray A.,Sousa J.,7,44
Dolgopolov O.,Karlovic I.,38,55
Anderson K.,Ferrer D.,21,4
Murray A.,Simon G.,7,23
Dimitrov G.,Gulbis E.,22,18
Anderson K.,Dolgopolov O.,21,38
Dimitrov G.,Murray A.,22,7
Dimitrov G.,Anderson K.,22,21
Bautista R.,Ungur A.,51,126
Tursunov D.,Lacko L.,29,101
Seppi A.,Mayer F.,31,30
Federer R.,Becker B.,8,90
Kohlschreiber P.,De Bakker T.,26,150
Berdych T.,Copil M.,6,159
Rosol L.,Brands D.,49,69
Youzhny M.,Przysiezny M.,15,75
Stepanek R.,Russell M.,48,106
Jaziri M.,Sijsling I.,137,53
Devvarman S.,Del Potro J.M.,78,5
Stakhovsky S.,Dodig I.,88,33
Ward J.,Gabashvili T.,177,60
Djokovic N.,Istomin D.,2,54
Davydenko N.,Golubev A.,63,72
Tsonga J.W.,Hanescu V.,10,80
Jaziri M.,Devvarman S.,137,78
Kohlschreiber P.,Seppi A.,26,31
Rosol L.,Tursunov D.,49,29
Berdych T.,Stakhovsky S.,6,88
Tsonga J.W.,Davydenko N.,10,63
Youzhny M.,Ward J.,15,177
Federer R.,Stepanek R.,8,48
Djokovic N.,Bautista R.,2,51
Kohlschreiber P.,Jaziri M.,26,137
Djokovic N.,Youzhny M.,2,15
Berdych T.,Tsonga J.W.,6,10
Federer R.,Rosol L.,8,49
Berdych T.,Kohlschreiber P.,6,26
Federer R.,Djokovic N.,8,2
Federer R.,Berdych T.,8,6
Pella G.,Mayer L.,113,59
Souza J.,Haase R.,129,45
Zeballos H.,Cuevas P.,116,197
Montanes A.,Bedene A.,68,103
Delbonis F.,Volandri F.,61,82
Haider-Maurer A.,Reister J.,110,109
Dutra Silva R.,Garcia-Lopez G.,147,52
Lorenzi P.,Riba P.,114,127
Klizan M.,Clezar G.,97,166
Starace P.,Gonzalez A.,152,76
Bellucci T.,Giraldo S.,108,58
Ramos A.,Elias G.,86,169
Zeballos H.,Pella G.,116,113
Delbonis F.,Almagro N.,61,17
Montanes A.,Souza J.,68,129
Haas T.,Starace P.,12,152
Monaco J.,Ramos A.,43,86
Lorenzi P.,Dutra Silva R.,114,147
Klizan M.,Granollers M.,97,229
Bellucci T.,Haider-Maurer A.,108,110
Lorenzi P.,Monaco J.,114,43
Delbonis F.,Montanes A.,61,68
Haas T.,Zeballos H.,12,116
Bellucci T.,Klizan M.,108,97
Lorenzi P.,Haas T.,114,12
Delbonis F.,Bellucci T.,61,108
Delbonis F.,Bellucci T.,61,114
Falla A.,Delbonis F.,75,44
Smyczek T.,Sock J.,105,102
Stakhovsky S.,Kubot L.,83,82
Roger-Vasselin E.,Becker B.,42,90
Russell M.,Young D.,107,81
Stepanek R.,Istomin D.,50,56
Vesely J.,Sijsling I.,77,55
Rosol L.,Lajovic D.,47,93
Giraldo S.,Gimeno-Traver D.,71,97
Monaco J.,Polansky P.,43,143
Hewitt L.,Ebden M.,41,62
Chardy J.,Williams R.,48,153
Mathieu P.H.,Ginepri R.,123,311
Harrison R.,Golubev A.,117,70
Karlovic I.,Bogomolov A.,51,92
Querrey S.,Kuznetsov Al.,57,127
Lu Y.H.,Kamke T.,49,94
Kukushkin M.,Groth S.,58,176
Sousa J.,Nedovyesov A.,45,79
